file,owning_package,package_declared_from_compiler,static_import_reachable,block_graph_role,reason,observed_build_state,derived_submodule,artifact
sev_compiler/compile/compile/src/error.sev,sev_compiler/compile,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/compile/compile/src/lib.sev,sev_compiler/compile,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/compile/compile/src/model.sev,sev_compiler/compile,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/compile/compile/src/planner.sev,sev_compiler/compile,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/compile/compile/src/registry.sev,sev_compiler/compile,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/config.sev,sev_compiler/driver,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/directory_tests.sev,sev_compiler/driver,yes,yes,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/lib.sev,sev_compiler/driver,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/main.sev,sev_compiler/driver,yes,no,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/package_command.sev,sev_compiler/driver,yes,yes,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/package_compiler.sev,sev_compiler/driver,yes,yes,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/package_session.sev,sev_compiler/driver,yes,yes,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/pipeline/editor.sev,sev_compiler/driver,yes,yes,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
sev_compiler/driver/driver/src/pipeline/frontend_archive.sev,sev_compiler/driver,yes,yes,no direct block-graph integration identified,no dedicated block graph producer/consumer role identified; may support other compiler paths,not analyzed: package resolution failed,unavailable,none produced by this build
